model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
EvidentialLSTM	0.012520	0.012520	0.089820	0.089820	0.981123	0.981123	0.500000	0.500000	0.981584	0.981584	-0.000264	-0.000264	0.980663	0.980663	0.500000	0.500000	2172	2172	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] stride=3: worse mse, unc_sep<0
EvidentialLSTM	0.009995	0.009995	0.079501	0.079501	0.940422	0.940422	0.509901	0.509901	0.939963	0.939963	-0.000070	-0.000070	0.940422	0.940422	0.509901	0.509901	2182	2182	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 15, "horizon": 15, "sub_window": 5, "n_steps": 3, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.2333, "t2": 0.8, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] w15/h15/sw5: best mse but unc_sep<0
EvidentialLSTM	0.010765	0.010765	0.082630	0.082630	0.940422	0.940422	0.504950	0.504950	0.939963	0.939963	0.002624	0.002624	0.940422	0.940422	0.504950	0.504950	2182	2182	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 15, "horizon": 15, "sub_window": 5, "n_steps": 3, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.2333, "t2": 0.8, "lambda1": 0.3, "single_cam": "Eastgate"}	discarded	[1CAM] w15/h15/lam0.3: unc_sep>0 but mse worse than 1CAM best (0.01077 vs 0.01018)
EvidentialLSTM	0.013282	0.013282	0.093250	0.093250	0.950759	0.950759	0.505495	0.505495	0.950759	0.950759	0.000839	0.000839	0.950759	0.950759	0.505495	0.505495	2173	2173	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 20, "horizon": 20, "sub_window": 5, "n_steps": 4, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.2333, "t2": 0.8, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] w20/h20: worse (0.01328 vs 0.01018)
EvidentialLSTM	0.009055	0.009055	0.076249	0.076249	0.981514	0.981514	0.500000	0.500000	0.981514	0.981514	0.000395	0.000395	0.981514	0.981514	0.500000	0.500000	2272	2272	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	kept	[1CAM] warmup=0: mse improved 0.01018->0.00906\!
EvidentialLSTM	0.010598	0.010598	0.082464	0.082464	0.981074	0.981074	0.500000	0.500000	0.981514	0.981514	0.002202	0.002202	0.981074	0.981074	0.500000	0.500000	2272	2272	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.4, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.3333, "t2": 0.8333, "lambda1": 0.25, "single_cam": "Eastgate"}	discarded	[1CAM] d0.4: worse mse (0.01060 vs 0.00906)
EvidentialLSTM	0.008757	0.008757	0.073633	0.073633	0.646762	0.646762	0.521073	0.521073	0.575563	0.575563	0.001297	0.001297	0.645384	0.645384	0.521073	0.521073	2177	2177	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5654, "lambda1": 0.25, "single_cam": "NE8th"}	kept	[1CAM] NE8th baseline: mse=0.00876, all criteria pass
EvidentialLSTM	0.019128	0.019128	0.079086	0.079086	0.886271	0.886271	0.489796	0.489796	0.852153	0.852153	-0.007051	-0.007051	0.887084	0.887084	0.500000	0.500000	1231	1231	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.0, "t2": 0.6569, "lambda1": 0.25, "single_cam": "Newport"}	discarded	[1CAM] Newport: cls_trans<0.50, unc_sep<0, too few windows
EvidentialLSTM	0.008757	0.008757	0.073633	0.073633	0.998622	0.998622	0.500000	0.500000	0.998622	0.998622	-0.003724	-0.003724	0.998622	0.998622	0.500000	0.500000	2177	2177	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1944, "t2": 0.8611, "lambda1": 0.25, "single_cam": "NE8th"}	discarded	[1CAM] NE8th 4CAM-abs thresholds: almost all "easy", unc_sep<0
EvidentialLSTM	0.008757	0.008757	0.073633	0.073633	0.646762	0.646762	0.521073	0.521073	0.575563	0.575563	0.001297	0.001297	0.645384	0.645384	0.521073	0.521073	2177	2177	{"mode": "evidential", "model": "EvidentialLSTM", "n_features": 65, "window": 30, "horizon": 30, "sub_window": 6, "n_steps": 5, "hidden_size": 64, "n_layers": 3, "dropout": 0.3, "lr": 0.001, "batch_size": 64, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5654, "lambda1": 0.25, "single_cam": "NE8th"}	kept	[1CAM] NE8th warmup=0: same result as warmup=300
