model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	n_within	n_cross	config	status	description
LSTM	0.013913	0.019967	0.089527	0.113864	0.934305	0.943012	0.516064	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333,"patience":60}	discarded	patience=60 (same results, slower)
LSTM	0.015482	0.025295	0.094993	0.123823	0.933051	0.943012	0.534137	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333,"grad_clip":0.5}	discarded	grad_clip=0.5 (mse_within worse)
LSTM	0.014649	0.020124	0.091017	0.112627	0.936814	0.943012	0.522088	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":35,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333,"grad_clip":2.0}	discarded	grad_clip=2.0 (mse_within worse)
LSTM	0.013545	0.023630	0.088063	0.124883	0.934619	0.943012	0.487952	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":20,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	top-20 features (cls_trans<0.50)
LSTM	0.015079	0.027579	0.092207	0.131546	0.931483	0.942579	0.504016	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":25,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	top-25 features (mse_within worse, mse_cross +38%)
LSTM	0.013662	0.052206	0.087692	0.181913	0.937128	0.779415	0.538153	0.503650	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":30,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	top-30 features (mse_cross +161%)
LSTM	0.013886	0.019516	0.089092	0.112479	0.938696	0.943012	0.495984	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":65,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	SPATIAL_65 (cls_trans<0.50)
LSTM	0.010757	0.019853	0.074532	0.109538	0.936814	0.943012	0.495984	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.1,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	ALL_75 features (cls_trans=0.496, barely <0.50)
LSTM	0.010971	0.019272	0.076601	0.109344	0.939479	0.943012	0.518072	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":75,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	kept	ALL_75+dropout=0.2 (mse_within -21%, mse_cross -3.5%)
LSTM	0.014756	0.028546	0.092539	0.137312	0.928818	0.943012	0.477912	0.498783	0.848228	0.943012	6378	4615	{"mode":"lstm","model":"LSTM","n_features":10,"window":30,"horizon":30,"sub_window":6,"n_steps":5,"hidden_size":128,"n_layers":3,"dropout":0.2,"lr":0.001,"batch_size":32,"t1_percentile":20,"t2_percentile":85,"t1":0.175,"t2":0.8333}	discarded	top-10 features (cls_trans<0.50)
