model	mse_within	mse_cross	mae_within	mae_cross	cls_acc_within	cls_acc_cross	cls_trans_within	cls_trans_cross	majority_acc_within	majority_acc_cross	unc_sep_within	unc_sep_cross	cls_acc_cdf_within	cls_acc_cdf_cross	cls_trans_cdf_within	cls_trans_cdf_cross	n_within	n_cross	config	status	description
LSTM	0.014563	0.014563	0.092511	0.092511	0.425614	0.425614	0.497992	0.497992	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "transition_loss_weight": 8, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[TW PLAIN 1CAM w=8] cls_trans 0.4980 <= baseline 0.5040
LSTM	0.010849	0.010849	0.080122	0.080122	0.425614	0.425614	0.497992	0.497992	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "transition_loss_weight": 10, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[TW PLAIN 1CAM w=10] cls_trans 0.4980 <= baseline 0.5040
LSTM	0.010014	0.010014	0.078524	0.078524	0.594608	0.594608	0.512048	0.512048	0.574386	0.574386							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 51, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.1389, "t2": 0.5667, "train_stride": 6, "use_delta_features": true, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[DELTA PLAIN 1CAM] mse +25.6% > 10% threshold
LSTM	0.011068	0.011068	0.084178	0.084178	0.641310	0.641310	0.498973	0.498973	0.641310	0.641310							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 1, "n_steps": 30, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.0, "t2": 0.6154, "train_stride": 6, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[SW1 PLAIN 1CAM] cls_trans 0.4990 <= baseline 0.5040
LSTM	0.010151	0.010151	0.078919	0.078919	0.615311	0.615311	0.529750	0.529750	0.508907	0.508907							2077	2077	{"cfg": "PLAIN 1CAM", "mode": "lstm", "n_features": 35, "hidden_size": 96, "n_layers": 4, "dropout": 0.3, "lr": 0.003, "batch_size": 64, "sub_window": 2, "n_steps": 15, "warmup_frames": 300, "t1_percentile": 10, "t2_percentile": 70, "t1": 0.0, "t2": 0.5804, "train_stride": 6, "single_cam": "Bellevue_Bellevue_NE8th"}	discarded	[SW2 PLAIN 1CAM] mse +27.3% > 10% threshold
EvidentialLSTM	0.015151	0.021310	0.090478	0.116207	0.957245	0.855925	0.573770	0.428931	0.805320	0.826750	0.160656	0.132137	0.957082	0.847397	0.576503	0.441509	6128	4456	{"cfg": "EVID 4CAM MSE", "mode": "evidential", "n_features": 65, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "lambda1": 0.25}	baseline	[BASELINE EVID 4CAM MSE]
EvidentialLSTM	0.017023	0.021468	0.095103	0.116329	0.957409	0.864004	0.519126	0.445283	0.805320	0.826750	0.135532	0.079600	0.957082	0.861311	0.519126	0.454088	6128	4456	{"cfg": "EVID 4CAM MSE", "mode": "evidential", "n_features": 65, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "lambda1": 0.25, "transition_loss_weight": 1}	discarded	[TW EVID 4CAM MSE w=1] cls_trans 0.5191 <= baseline 0.5738
EvidentialLSTM	0.017340	0.022008	0.097666	0.119221	0.956756	0.826750	0.562842	0.500629	0.805320	0.826750	0.132924	0.081121	0.957898	0.826750	0.560109	0.500629	6128	4456	{"cfg": "EVID 4CAM MSE", "mode": "evidential", "n_features": 65, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "lambda1": 0.25, "transition_loss_weight": 2}	discarded	[TW EVID 4CAM MSE w=2] cls_trans 0.5628 <= baseline 0.5738
EvidentialLSTM	0.017992	0.028279	0.103011	0.129297	0.953492	0.799820	0.606557	0.496855	0.805320	0.826750	0.122550	0.117205	0.953982	0.791293	0.603825	0.496855	6128	4456	{"cfg": "EVID 4CAM MSE", "mode": "evidential", "n_features": 65, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "lambda1": 0.25, "transition_loss_weight": 3}	discarded	[TW EVID 4CAM MSE w=3] mse +18.7% > 10% threshold
EvidentialLSTM	0.017506	0.031312	0.098610	0.141284	0.955450	0.826302	0.628415	0.500629	0.805320	0.826750	0.095558	0.048010	0.955450	0.826302	0.614754	0.500629	6128	4456	{"cfg": "EVID 4CAM MSE", "mode": "evidential", "n_features": 65, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "lambda1": 0.25, "transition_loss_weight": 5}	discarded	[TW EVID 4CAM MSE w=5] mse +15.5% > 10% threshold
EvidentialLSTM	0.016569	0.031823	0.093768	0.141085	0.957409	0.803636	0.614754	0.533333	0.805320	0.826750	0.099955	0.066799	0.957898	0.796679	0.612022	0.538365	6128	4456	{"cfg": "EVID 4CAM MSE", "mode": "evidential", "n_features": 65, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "lambda1": 0.25, "transition_loss_weight": 8}	kept	[TW EVID 4CAM MSE w=8] cls_trans 0.5738->0.6148, mse +9.4%
EvidentialLSTM	0.016320	0.022796	0.095589	0.118286	0.950555	0.830341	0.650273	0.534591	0.805320	0.826750	0.089339	0.066308	0.951371	0.838869	0.633880	0.513208	6128	4456	{"cfg": "EVID 4CAM MSE", "mode": "evidential", "n_features": 65, "hidden_size": 128, "n_layers": 4, "dropout": 0.4, "lr": 0.003, "batch_size": 64, "sub_window": 6, "n_steps": 5, "warmup_frames": 400, "t1_percentile": 25, "t2_percentile": 90, "t1": 0.3194, "t2": 0.8611, "train_stride": 6, "lambda1": 0.25, "transition_loss_weight": 10}	kept	[TW EVID 4CAM MSE w=10] cls_trans 0.5738->0.6503, mse +7.7%
